"","990
022","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
028","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
032","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","129","3.440","49.6","16.3","14.7","3.9","7.8","1.6","",".","4.7","",".",".","",".","1.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.787","75.0","8.3","16.7",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","25","3.172","36.0","20.0","20.0","8.0","8.0","8.0","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","15","3.000","26.7","6.7","26.7","20.0","20.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","36","3.473","52.8","19.4","13.9",".","13.9",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","88","3.343","46.6","15.9","18.2","5.7","11.4","2.3","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","5","3.000",".",".","20.0",".",".",".","",".","80.0","",".",".","",".",".","",".",".",".","."
"Graduate","","35","3.795","62.9","20.0","5.7",".",".",".","",".","5.7","",".",".","",".","5.7","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","129","3.440","49.6","16.3","14.7","3.9","7.8","1.6","",".","4.7","",".",".","",".","1.6","",".",".",".","."
