"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","184","3.231","17.4","44.0","18.5","8.7","6.5","2.2","0.5","1.1",".",".",".",".","1.1",".",".","."
"Global Phys Environments","120","001","134","3.078","19.4","29.1","19.4","19.4","9.7","2.2","0.7",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","24","3.109","20.8","20.8","16.7","33.3","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Resources and People","139","001","68","3.184","26.5","29.4","26.5","7.4","4.4","2.9","2.9",".",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","112","3.401","37.5","21.4","25.0","13.4","1.8",".",".","0.9",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","13","2.923","7.7","46.2","30.8",".",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","60","3.712","66.7","16.7","10.0","3.3",".","1.7",".","1.7",".",".",".",".",".",".",".","."
"Introduction to Geopolitics","318","001","42","3.275","26.2","23.8","28.6","9.5","7.1",".",".","4.8",".",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","27","3.280","33.3","11.1","29.6","11.1","7.4",".",".","7.4",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","19","3.139","21.1","31.6","21.1","5.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","21","2.974","19.0","14.3","23.8","19.0","9.5","4.8",".",".",".",".",".",".",".",".","9.5","."
"Environmental Biogeography","338","001","36","3.632","44.4","36.1","11.1",".","2.8",".",".","5.6",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","52","2.814","5.8","11.5","46.2","13.5","19.2","1.9",".",".",".",".",".",".",".",".","1.9","."
"World Regions in Global Contxt","340","001","170","3.107","12.4","28.8","41.2","4.1","1.8","2.9","2.4","3.5",".",".",".",".","0.6","2.4",".","."
"Europe","349","001","119","3.326","31.9","21.8","26.1","7.6","5.0","1.7",".","3.4",".",".",".",".","1.7","0.8",".","."
"Introduction to Cartography","370","001","76","3.480","43.4","22.4","23.7","2.6","3.9","1.3",".","1.3",".",".",".",".","1.3",".",".","."
"Intro Envir Remote Sensing","371","001","30","3.233","36.7",".","46.7","6.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","41","3.329","39.0","22.0","29.3",".","2.4","7.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","378","001","32","3.547","46.9","34.4","15.6",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","12","3.167","25.0","16.7","41.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","13","3.538","76.9","7.7",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Topics in Geography","475","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qualitative Strategies","500","001","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Hist Geog-European Urbanztn","506","001","28","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Past Climates&Climatic Chg","528","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Humid Tropics","538","001","17","3.588","52.9","23.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","44","3.705","40.9","59.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Geographic Thought","566","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","575","001","25","3.478","36.0","28.0","20.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".","4.0","."
"","602","004","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","602","010","15","",".",".",".",".",".",".",".",".",".","20.0",".",".",".",".",".","."
"","602","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","22","",".",".",".",".",".",".",".",".",".","45.5",".",".",".",".",".","."
"Senior Honors Thesis","681","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
