"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
002","43","3.256","18.6","27.9","41.9","9.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","340
003","43","3.558","39.5","34.9","23.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
340","41","3.451","29.3","39.0","26.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","166","3.316","25.3","30.1","31.3","10.2","2.4","0.6",".",".",".",".",".",".",".",".",".","."
"","406
001","21","3.238","19.0","23.8","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","13","3.269","30.8","15.4","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","34","3.250","23.5","20.6","41.2","11.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","603
001","43","3.500","34.9","30.2","34.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","48","3.583","43.8","29.2","27.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","91","3.544","39.6","29.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","42","3.238","21.4","31.0","33.3","7.1","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","002
620","44","3.250","27.3","20.5","38.6","6.8","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","86","3.244","24.4","25.6","36.0","7.0","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"","621
001","26","3.460","34.6","26.9","26.9","7.7",".",".",".",".",".",".",".",".",".",".","3.8","."
"","002
621","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","35","3.426","31.4","25.7","34.3","5.7",".",".",".",".",".",".",".",".",".",".","2.9","."
"","630
001","42","3.393","19.0","45.2","31.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","40","3.338","12.5","50.0","32.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","003
630","36","3.208","8.3","30.6","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","118","3.318","13.6","42.4","39.0","4.2","0.8",".",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.470","28.0","48.0","18.0","2.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","700
002","50","3.540","28.0","54.0","16.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","56","3.545","35.7","41.1","19.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","43","3.930","88.4","9.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","199","3.608","43.2","39.2","14.6","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","701
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
701","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","27","3.444","37.0","18.5","40.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","28","3.268","21.4","14.3","60.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","55","3.355","29.1","16.4","50.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","35","3.647","51.4","22.9","22.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","710
002","41","3.732","61.0","26.8","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","76","3.693","56.6","25.0","15.8","1.3",".",".",".","1.3",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","24","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","30","3.633","50.0","36.7","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","770
002","28","3.536","35.7","42.9","17.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","58","3.586","43.1","39.7","12.1","1.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","26","3.423","34.6","26.9","30.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 53 of 403"
