"","300
002","","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Humanities Topics in EAS","Course Total","","33","3.516","42.4","33.3","12.1","6.1",".","3.0","",".","3.0","",".",".","",".","",".",".",".",".","."
"Social Studies Topics in EAS","301
002","","15","3.269","13.3","33.3","26.7","13.3",".",".",".","",".",".","",".",".","",".","","13.3",".",".","."
"Directed Study","698
001","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"E A STDS
298","Dept. Total","","92","3.552","43.5","30.4","13.0","4.3","2.2","1.1","",".","1.1","",".","1.1","",".","",".","2.2",".","1.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.750","50.0","50.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","25","3.646","52.0","28.0","12.0",".","4.0",".","",".",".","",".",".","",".","",".","4.0",".",".","."
"Junior","","","23","3.478","34.8","39.1","13.0","13.0",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","39","3.528","43.6","28.2","12.8","2.6","2.6","2.6","",".","2.6","",".","2.6","",".","",".","2.6",".",".","."
"Undergraduates","","","89","3.553","43.8","31.5","12.4","4.5","2.2","1.1","",".","1.1","",".","1.1","",".","",".","2.2",".",".","."
"Special","","","3","3.500","33.3",".","33.3",".",".",".","",".",".","",".",".","",".","",".",".",".","33.3","."
"","Dept. Total","","92","3.552","43.5","30.4","13.0","4.3","2.2","1.1","",".","1.1","",".","1.1","",".","",".","2.2",".","1.1","."
