"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Image Processing","533","001","","21","3.571","23.8","66.7","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536","001","","61","3.144","49.2","4.9","13.1","9.8","11.5","3.3","4.9",".","1.6",".",".",".","1.6",".",".","."
"","537","001","","79","3.655","63.3","19.0","10.1","2.5","2.5","1.3",".","1.3",".",".",".",".",".",".",".","."
"","537","002","","75","3.537","61.3","18.7","6.7","4.0","5.3",".","2.7","1.3",".",".",".",".",".",".",".","."
"Intro to Operating Systems","","Course Total","","154","3.597","62.3","18.8","8.4","3.2","3.9","0.6","1.3","1.3",".",".",".",".",".",".",".","."
"","540","001","","102","3.397","50.0","20.6","10.8","9.8","4.9","1.0","2.9",".",".",".",".",".",".",".",".","."
"","540","002","","93","3.145","25.8","25.8","24.7","11.8","6.5","4.3","1.1",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","","Course Total","","195","3.277","38.5","23.1","17.4","10.8","5.6","2.6","2.1",".",".",".",".",".",".",".",".","."
"Natural Lang & Computing","545","001","","51","3.850","70.6","25.5","2.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","18","2.556","16.7","11.1","11.1","22.2","27.8","5.6","5.6",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Graphics","559","001","","64","2.802","18.8","18.8","26.6","14.1","9.4","1.6","9.4","1.6",".",".",".",".",".",".",".","."
"","564","001","","101","3.321","42.6","15.8","19.8","12.9","8.9",".",".",".",".",".",".",".",".",".",".","."
"","564","002","","70","3.645","55.7","17.1","24.3","1.4",".",".",".",".",".",".",".",".","1.4",".",".","."
"Database Mgt Systems","","Course Total","","171","3.438","48.0","16.4","21.6","8.2","5.3",".",".",".",".",".",".",".","0.6",".",".","."
"Introduction to Bioinformatics","576","001","","29","3.375","31.0","24.1","34.5",".","6.9",".",".",".",".",".",".",".","3.4",".",".","."
"","577","001","","58","3.061","13.8","17.2","53.4","8.6","1.7",".","3.4","1.7",".",".",".",".",".",".",".","."
"","577","002","","82","2.981","23.2","17.1","22.0","15.9","17.1","2.4","1.2",".",".",".",".",".","1.2",".",".","."
"Introduction to Algorithms","","Course Total","","140","3.014","19.3","17.1","35.0","12.9","10.7","1.4","2.1","0.7",".",".",".",".","0.7",".",".","."
"Contest-Level Programming","578","001","","7","3.429","71.4",".",".",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640","001","","50","3.296","50.0","18.0","6.0","8.0","10.0","2.0","4.0",".",".",".",".",".","2.0",".",".","."
"Intro to Information Security","642","001","","52","3.396","48.1","17.3","9.6","5.8","7.7","1.9","1.9","3.8",".",".",".",".",".","3.8",".","."
"","681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","21","3.908","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction of Compilers","701","001","","34","3.879","79.4","11.8","5.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Nonlinear Optimization I","726","001","","30","3.283","20.0","43.3","20.0","6.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Convex Analysis","727","001","","10","3.778","80.0",".",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Distributed Systems","739","001","","37","3.662","43.2","45.9","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 194 of 403",""
