"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"559
Adv Pract-Teach Soc Studies","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Teacher Ed-Human Sexuality","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Iss, Mtls & Mthds-Hlth Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590
Adv Pract-Teaching Science","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"596
Adv Prac-Tch Engl Secn Schl","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"604
Seminar on Literacy","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","001","","13","3.833","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"630","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wrkshp-Schl Program Develop","Course Total","","14","3.833","64.3","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","7.1"
"636
Tchg: Number & Generalization","001","","21","3.722","52.4","19.0","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"640
Tchg: Conjecturing & Reasoning","001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"660
Early Childhood Education","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Lrng Envr-Initial Ed Progm","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"673
Learning 2nd Lang & Literacies","001","","17","3.455","47.1","11.8","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"675","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","15","3.929","86.7",".","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"675","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","58","3.979","96.6",".","1.7",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"676
Bilingualism&Biliteracy-Schls","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"690","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
School Practicum in Com Dis","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","23","4.000","60.9",".",".",".",".",".",".","30.4",".",".",".",".","8.7",".",".","."
"704
Curriculum Planning","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Intro to C&I","001","","31","3.983","93.5","3.2",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"716
Reform&Change-Curric&Instr","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"718
Introd to Narrative Inquiry","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 85 of 403"
