"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro to Chicana/o&Latina/o St","201","001","","40","3.850","80.0","15.0","2.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Chicano/a Studies","330","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latinas: Self Ident&Social Chg","332","001","","22","3.568","54.5","18.2","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"The American West to1850","461","001","","27","2.937","18.5","29.6","22.2","7.4","7.4","3.7","7.4",".",".",".",".",".","3.7",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530","002","","6","3.600","16.7","66.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
