"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.262","33.3","23.8","23.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","101
002","24","3.542","62.5","16.7","12.5",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","004
101","21","3.667","61.9","14.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","19","3.658","73.7","10.5","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","007
101","21","3.714","61.9","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
101","18","3.194","38.9","5.6","38.9",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","141","3.550","58.2","14.9","18.4","2.8","2.8","2.1","0.7",".",".",".",".",".",".",".",".","."
"","102
002","11","3.318","45.5","9.1","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.650","55.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","17","3.441","52.9","23.5","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","102
005","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","58","3.526","51.7","20.7","19.0","5.2","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","111
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","111
002","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","13","3.833","76.9","7.7",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","203
002","22","3.523","45.5","22.7","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","003
203","19","3.053","21.1","15.8","42.1","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","203
004","18","3.556","44.4","33.3","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","006
203","18","3.306","33.3","16.7","44.4",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","77","3.364","36.4","22.1","32.5","1.3","5.2","2.6",".",".",".",".",".",".",".",".",".","."
"","204
002","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","20","3.375","30.0","35.0","25.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","64","3.680","62.5","18.8","14.1","1.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236
001","19","3.778","52.6","42.1",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","19","3.667","68.4","21.1",".",".",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"","249
001","23","3.761","82.6",".","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","249
003","22","3.841","81.8","4.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
004","22","3.659","50.0","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
005","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","88","3.795","75.0","12.5","10.2","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","258
001","20","3.650","45.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","258
002","20","3.675","65.0","25.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","258
003","22","3.409","22.7","50.0","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","62","3.573","43.5","40.3","6.5","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","001
262","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
262","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","50","3.890","84.0","10.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to German Literature","274
001","6","3.250","33.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 221 of 403",""
