"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"Topic-Ethnic&Multicultr Lit","461","001","","23","3.478","39.1","30.4","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","464","001","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","10","3.875","60.0","20.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Creative Writing: Workshop","511","002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","515","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"English Grammar in Use","516","001","","19","3.447","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","520","001","","18","3.588","61.1","16.7","5.6","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"Travel Writing before 1800","546","001","","15","3.433","33.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Theory","559","001","","22","3.778","54.5","18.2","9.1",".",".",".",".","4.5",".",".",".",".","4.5",".","9.1","."
"Postcolonial Theatre","577","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","002","","9","3.111","44.4","11.1","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","691","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Directed Creative Writing","695","114","","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intro-Composition Studies","700","001","","17","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Writing and Learning","701","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Special Topics-Compositn Thry","706","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meths-Applied Linguistics","711","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Fiction Workshop","781","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Poetry Workshop","782","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing Pedagogy Smr","783","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","785","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","785","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","785","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
