"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"417
Adv Clinical Assessment in AT","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"427
Fitness Test & Exer Prescript","001","","40","3.413","25.0","42.5","27.5",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"450
Field-Athletic Training","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499
Seminar-Athletic Training","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","29","3.845","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"508
Workshop in Kinesiology","003","","60","3.383","28.3","40.0","16.7","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"521
Physical Activity & Health","001","","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Teacher Ed-Human Sexuality","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Iss, Mtls & Mthds-Hlth Educ","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Advanced Exercise Psychology","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Lab Tech-Exercise Physiol","001","","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"618
Biomechanics","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".","14.3",".",".",".",".",".",".","."
"900
Seminar in Kinesiology","001","","22","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","19","",".",".",".",".",".",".",".","89.5",".",".",".","10.5",".",".",".","."
