"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","646
001","11","3.696","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","21","3.775","57.1","33.3","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","646
003","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","646
004","16","3.438","43.8","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","63","3.631","55.6","27.0","9.5","4.8","1.6",".",".",".",".",".",".",".","1.6",".",".","."
"End-of-Life Pract. Challenges","648
001","21","3.455","38.1","38.1","14.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","11","3.409","18.2","63.6",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","3.895","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","001
711","41","3.659","46.3","41.5","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","37","3.083","5.4","40.5","24.3","18.9","8.1",".",".",".",".",".",".",".","2.7",".",".","."
"","712
003","37","3.014","8.1","27.0","29.7","18.9","10.8",".",".",".",".",".",".",".",".",".","2.7","2.7"
"","712
004","32","3.203",".","56.3","31.3","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","106","3.097","4.7","40.6","28.3","16.0","7.5",".",".",".",".",".",".",".","0.9",".","0.9","0.9"
"","741
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","22","3.773","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","66","3.811","69.7","22.7","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","28","3.804","60.7","39.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
800","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
012","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
013","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","800
014","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
015","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
021","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
022","12","3.840","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
023","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
025","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
026","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","027
800","13","3.667","46.2","30.8","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","800
028","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","174","3.925","83.9","10.3","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","835
001","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
835","17","3.853","88.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","835
003","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 298 of 403",""
