"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2727","3.491","36.9","11.6","11.3","2.0","2.1","0.4","0.1","34.6","0.0",".",".","0.4","0.0",".","0.7","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.563","83.3",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","27","3.619","74.1","3.7","14.8",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Junior","","38","3.376","57.9","2.6","23.7","2.6","7.9","2.6",".",".",".",".",".",".","2.6",".",".","."
"Senior","","38","3.495","68.4","5.3","13.2","2.6","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","121","3.491","68.6","3.3","15.7","2.5","7.4","1.7",".",".",".",".",".",".","0.8",".",".","."
"Special","","22","3.273","13.6",".","4.5",".","4.5",".",".","77.3",".",".",".",".",".",".",".","."
"Graduate","","97","3.918","38.1","3.1","3.1",".",".",".",".","44.3","1.0",".",".","9.3",".",".","1.0","."
"Prof Yr 1","","506","3.208","38.3","20.8","21.7","6.5","7.7","1.6","0.4","3.0",".",".",".",".",".",".",".","."
"Prof Yr 2","","708","3.646","50.0","17.8","12.1","1.7","1.0",".",".","17.4",".",".",".",".",".",".",".","."
"Prof Yr 3","","663","3.505","21.3","11.6","13.4","1.1","0.3",".",".","52.2",".",".",".",".",".",".","0.2","."
"Prof Yr 4","","689","3.983","28.0",".",".",".",".","0.1",".","69.4",".",".",".","0.1",".",".","2.3","."
"Professionals","","2566","3.484","34.4","12.0","11.1","2.0","1.9","0.4","0.1","37.5",".",".",".","0.0",".",".","0.7","."
"","College Total","2806","3.491","35.8","11.2","11.0","2.0","2.1","0.4","0.1","36.4","0.0",".",".","0.4","0.0",".","0.6","."
