"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","4.000","33.3",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","66.7","."
"Undergraduates","","3","4.000","33.3",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","66.7","."
"Special","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","24","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","21","3.625","14.3",".","9.5",".",".","",".","",".","76.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","20","3.638","60.0","15.0","15.0","5.0","5.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","66","3.635","22.7","4.5","7.6","1.5","1.5","",".","",".","62.1","",".",".","",".","",".","",".",".",".","."
