"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","466","2.896","27.7","4.9","36.5","4.1","15.5","9.2","1.5","0.4",".",".",".",".","0.2",".",".","."
"610
Cellular&Molecular Neurosci","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"629
Molec & Cellular Mech-Memory","002","","6","2.900",".","16.7","33.3","33.3",".",".",".",".",".",".",".",".","16.7",".",".","."
"675","001","","24","3.646","29.2","70.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","24","3.625","29.2","66.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","24","3.180",".","70.8","8.3","8.3","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"675","026","","10","3.667","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"675","028","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","89","3.608","28.1","60.7","4.5","2.2","2.2",".",".",".",".",".",".",".","1.1",".","1.1","."
"699","006","","12","3.727","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","28","3.870","92.9",".","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"700
Prof Devlpmt-Biomed Grad Stdts","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Seminar","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","",".",".",".",".",".",".",".","97.3",".",".",".","2.7",".",".",".","."
