"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","343
002","232","2.677","18.5","11.6","24.6","7.3","26.3","8.2","3.4",".",".",".",".",".",".",".",".","."
"","003
343","195","2.772","20.5","9.7","29.2","7.2","24.1","7.2","2.1",".",".",".",".",".",".",".",".","."
"","343
004","56","3.286","35.7","16.1","37.5","5.4","1.8",".","3.6",".",".",".",".",".",".",".",".","."
"","343
005","316","2.733","19.6","9.2","25.9","11.7","25.6","3.5","4.1",".",".",".",".",".",".",".","0.3","."
"Intro Organic Chemistry","Course Total","1129","2.771","20.9","9.6","28.3","8.8","23.7","5.3","3.3",".",".",".",".",".","0.1",".","0.1","."
"","001
344","16","3.063","31.3","12.5","31.3","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","344
002","18","3.167","27.8","11.1","44.4",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","344
003","17","3.147","23.5","11.8","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","004
344","18","3.111","22.2","16.7","33.3","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","344
005","17","3.188","29.4","5.9","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"","344
006","15","3.267","40.0","6.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","007
344","16","3.188","31.3","12.5","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
008","14","3.107","28.6","7.1","42.9","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"","009
344","14","2.964","14.3","28.6","35.7","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","344
010","15","3.100","20.0","20.0","46.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","344
011","17","3.147","29.4","5.9","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
012","17","3.147","29.4","11.8","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
013","16","3.156","25.0","12.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
014","16","2.906","25.0","6.3","37.5","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","344
015","13","3.192","30.8","7.7","46.2",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","344
016","14","3.214","28.6","14.3","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
017","16","3.188","25.0","18.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
018","15","3.300","40.0","13.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
019","15","3.133","26.7","6.7","46.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
020","18","3.111","16.7","22.2","44.4","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","344
021","15","3.133","26.7","6.7","53.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","344
022","14","3.107","28.6","7.1","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
023","14","3.214","35.7",".","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
024","17","3.029","17.6","17.6","35.3","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","344
025","17","3.147","29.4","11.8","35.3","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"","344
026","17","3.176","17.6","29.4","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","027
344","18","3.111","22.2","11.1","55.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","429","3.137","26.6","12.6","37.8","12.8","7.9","1.4","0.7",".",".",".",".",".",".",".",".","0.2"
"","345
001","242","2.857","25.6","9.5","26.0","8.3","22.3","5.4","2.5",".",".",".",".",".","0.4",".",".","."
"","345
002","200","2.830","25.0","8.0","25.0","13.0","21.5","4.5","3.0",".",".",".",".",".",".",".",".","."
"","003
345","68","2.779","16.2","10.3","35.3","7.4","23.5","5.9","1.5",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","510","2.836","24.1","9.0","26.9","10.0","22.2","5.1","2.5",".",".",".",".",".","0.2",".",".","."
"","346
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","24","3.208","25.0","16.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","26","3.150","23.1","19.2","38.5","7.7","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","54","3.208","40.7","14.8","16.7","11.1","9.3","3.7","1.9",".",".",".",".",".",".",".","1.9","."
"Physical Chemistry","561
001","65","2.938","26.2","10.8","26.2","10.8","18.5","4.6","1.5",".",".",".",".",".",".",".","1.5","."
"Physical Chemistry","562
001","65","2.962","21.5","21.5","26.2","10.8","12.3","4.6","3.1",".",".",".",".",".",".",".",".","."
"","563
001","13","3.269","23.1","30.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
563","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 177 of 403",""
