"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"101","002","","16","3.375","50.0","12.5","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"101","003","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"101","004","","13","2.846","23.1","7.7","30.8","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"101","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","41","3.280","43.9","12.2","22.0","9.8","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"201","001","","14","3.393","42.9","21.4","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"201","002","","11","3.000","36.4","9.1","9.1","9.1","36.4",".",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","25","3.220","40.0","16.0","16.0","4.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"221
Intro-Luso-Brazilian Lits","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"225
3rd Yr Conversatn & Compositn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Intensive Portuguese","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
4th Yr Compositn & Conversatn","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"330
History of Portuguese Language","001","","10","3.778","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"364
Hist&Cult Traditns-Brazil","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"467
Survey-Port Lit since 1825","001","","7","3.500","42.9","28.6",".",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"751
Seminar: Brazilian Literature","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"899","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
