"OPERATIONS & TECHNOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"","300","001","","133","3.301","29.3","26.3","29.3","6.8","7.5","0.8",".",".",".",".",".",".",".",".",".","."
"","300","002","","131","3.324","26.0","32.8","29.0","7.6","3.8",".","0.8",".",".",".",".",".",".",".",".","."
"","300","003","","131","3.185","26.7","19.8","30.5","13.7","6.1","1.5","0.8",".",".",".",".",".","0.8",".",".","."
"Operations Management","","Course Total","","395","3.270","27.3","26.3","29.6","9.4","5.8","0.8","0.5",".",".",".",".",".","0.3",".",".","."
"Principles & Tech-Qual Mgmt","351","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","370","001","","44","3.384","27.3","38.6","20.5","4.5","6.8",".",".",".",".",".",".",".","2.3",".",".","."
"Operations Research I","410","001","","30","3.783","56.7","43.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421","001","","10","3.300","40.0","10.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422","001","","10","3.200","10.0","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442","001","","17","3.353","11.8","52.9","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","451","001","","12","3.167","16.7","33.3","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","451","002","","20","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","","Course Total","","32","3.375","31.3","31.3","21.9","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Logistics Analysis","640","001","","32","3.047","18.8","31.3","25.0","9.4","9.4","3.1","3.1",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","710","001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722","001","","15","3.571","33.3","40.0","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Economics for Managers","732","031","","43","3.512","41.9","20.9","34.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758","001","","32","3.672","43.8","46.9","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sustainable Approaches","770","001","","18","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","","Course Total","","2","***","","","","","","","","","","","","","","","",""
