"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","58","2.810","6.9","19.0","37.9","12.1","19.0","5.2",".","",".","",".","",".",".","",".","",".",".",".","."
"Asian American Movement","121
001","21","3.833","85.7","4.8","4.8",".","4.8",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","51","3.824","80.4","7.8","9.8",".","2.0",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Ethnic Movements in U.S.","220
001","30","3.217","20.0","33.3","30.0","10.0","3.3","3.3",".","",".","",".","",".",".","",".","",".",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Asian Amer Women Writers","464
001","10","3.400","30.0","20.0","50.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"","540
001","26","3.346","15.4","46.2","34.6",".","3.8",".",".","",".","",".","",".",".","",".","",".",".",".","."
"","540
002","30","3.667","50.0","33.3","16.7",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","56","3.518","33.9","39.3","25.0",".","1.8",".","",".","",".","",".",".","",".","",".",".",".",".","."
"ASIAN AM
184","Dept. Total","228","3.383","39.9","22.4","24.6","4.4","6.6","1.8","",".","",".","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","2.724","3.4","24.1","31.0","10.3","24.1","6.9","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","47","3.224","21.3","34.0","29.8","2.1","10.6","2.1","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","59","3.406","49.2","13.6","22.0","8.5","5.1","1.7","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","89","3.626","52.8","22.5","22.5","1.1",".",".","",".","",".","",".",".","",".","",".","1.1",".",".","."
"Undergraduates","","224","3.372","38.8","22.8","25.0","4.5","6.7","1.8","",".","",".","",".",".","",".","",".","0.4",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","228","3.383","39.9","22.4","24.6","4.4","6.6","1.8","",".","",".","",".",".","",".","",".","0.4",".",".","."
