"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Society's Egr Challenges","102
001","120","3.521","43.3","30.8","21.7",".","2.5","0.8","0.8",".","",".","",".",".","",".","",".","",".",".","."
"Intro Engr Design Process","111
001","46","3.500","47.8","19.6","21.7","6.5","4.3",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","160
001","230","3.630","53.9","28.3","13.5","2.2","1.3",".","0.9",".","",".","",".",".","",".","",".","",".",".","."
"","160
002","227","3.663","53.7","33.9","7.5","2.6","1.3","0.9",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Engineering Design","Course Total","457","3.647","53.8","31.1","10.5","2.4","1.3","0.4","0.4","",".","",".",".","",".","",".","",".",".",".","."
"","301
001","8","3.800","75.0","12.5",".",".","12.5",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","301
002","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Engr & Biology: Tech Symbiosis","Course Total","12","3.813","75.0","16.7",".",".","8.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Current Issues in Intl Engr","413
001","19","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Topics-Interdis Engineering","601
001","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"INTEREGR
496","Dept. Total","667","3.628","53.4","28.9","12.7","2.2","1.8","0.4","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","416","3.606","50.0","30.8","13.9","2.4","1.9","0.5","0.5","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","292","3.677","68.2","20.2","8.6","1.4","0.7","0.3",".","",".","",".",".","",".","",".","",".","0.7",".","."
"Junior","","115","3.264","90.4","4.3","1.7","0.9","0.9",".","0.9","",".","",".",".","",".","",".","",".","0.9",".","."
"Senior","","48","3.958","95.8","2.1",".",".",".",".",".","",".","",".",".","",".","",".","",".","2.1",".","."
"Undergraduates","","871","3.628","63.9","22.2","9.8","1.7","1.3","0.3","0.3","",".","",".",".","",".","",".","",".","0.5",".","."
"Special","","3","3.333","66.7",".",".",".","33.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","875","3.628","64.0","22.1","9.7","1.7","1.4","0.3","0.3","",".","",".",".","",".","",".","",".","0.5",".","."
