"BUS","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","55","3.973","94.5","5.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","84","3.964","94.0","4.8","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
301","","47","3.915","87.2","8.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","65","3.923","89.2","6.2","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","30","3.200","26.7","36.7","16.7","3.3","13.3",".","3.3",".",".",".",".",".",".",".",".","."
"","303
002","","36","3.236","25.0","30.6","27.8","11.1","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","66","3.220","25.8","33.3","22.7","7.6","7.6",".","3.0",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","39","3.077","20.5","28.2","25.6","7.7","15.4",".","2.6",".",".",".",".",".",".",".",".","."
"","002
650","","36","2.917","27.8","11.1","33.3","11.1","2.8","8.3","5.6",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","","75","3.000","24.0","20.0","29.3","9.3","9.3","4.0","4.0",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","651
001","","19","3.368","31.6","31.6","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","652
001","","35","3.129","11.4","34.3","28.6","20.0","5.7",".",".",".",".",".",".",".",".",".",".","."
"","652
002","","40","3.075","12.5","20.0","42.5","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","","75","3.100","12.0","26.7","36.0","20.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","001
654","","30","3.117","23.3","26.7","20.0","23.3","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","422","3.259","47.9","18.7","18.2","9.0","4.0","0.7","1.4",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","2.375","25.0",".","25.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","91","3.526","72.5","12.1","9.9","2.2","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Junior","","","123","3.353","55.3","17.1","18.7","6.5",".","0.8","1.6",".",".",".",".",".",".",".",".","."
"Senior","","","166","3.191","33.1","23.5","22.3","13.9","4.8","1.2","1.2",".",".",".",".",".",".",".",".","."
"Undergraduates","","","384","3.291","49.5","18.5","18.2","8.6","3.1","0.8","1.3",".",".",".",".",".",".",".",".","."
"Special","","","36","2.924","33.3","16.7","19.4","13.9","13.9",".","2.8",".",".",".",".",".",".",".",".","."
"Graduate","","","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","422","3.259","47.9","18.7","18.2","9.0","4.0","0.7","1.4",".",".",".",".",".",".",".",".","."
