"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"765
001
Issues in Educ Policy Analysis","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"800
001
Pub Affr Prof Devlpmnt Workshp","39","",".",".",".",".",".",".","",".","",".",".","","97.4",".","",".","",".",".",".","."
"809
001
Intro-Energy Analysis & Policy","9","3.778","55.6","44.4",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"818
001
Intro Stat Meths-Pub Pol Anal","37","3.486","27.0","37.8","29.7",".",".",".","",".","",".",".","",".",".","",".","","5.4",".",".","."
"827
001
Administrative Internship","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"830
001
School Finance","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"850
001
International Governance","13","3.385","23.1","46.2","23.1",".","7.7",".","",".","",".",".","",".",".","",".","",".",".",".","."
"001
854
Macroecon Pol & Int'l Fin Reg","17","3.469","35.3","23.5","29.4","5.9",".",".","",".","",".",".","",".",".","",".","","5.9",".",".","."
"871
001
Public Program Evaluation","27","3.704","51.9","37.0","11.1",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"875
001
Public Personnel Adm","10","3.850","70.0","30.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"878
001","13","3.731","53.8","38.5","7.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"878
002","18","3.833","66.7","33.3",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Course Total
Public Management","31","3.790","61.3","35.5","3.2",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"880
001
Microecon Policy Analysis","42","3.512","40.5","28.6","19.0","9.5",".",".","",".","",".",".","",".",".","",".","","2.4",".",".","."
"881
001
Benefit-Cost Analysis","41","3.902","82.9","14.6","2.4",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"883
001
Politics-Pov, Inequal&Soc Pol","12","3.909","75.0","16.7",".",".",".",".","",".","","8.3",".","",".",".","",".","",".",".",".","."
"974
005","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"974
006","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"974
007","6","3.750","66.7","16.7","16.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Course Total
Topics in Public Affairs","12","3.875","83.3","8.3","8.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"PUB AFFR
Dept. Total
826","301","3.681","45.5","25.2","11.0","1.7","0.3","",".","",".","2.0","",".","12.6","",".","",".","1.3",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","11","3.563","36.4","9.1","27.3",".",".","",".","",".",".","",".","27.3","",".","",".",".",".",".","."
"Undergraduates","11","3.563","36.4","9.1","27.3",".",".","",".","",".",".","",".","27.3","",".","",".",".",".",".","."
"Graduate","271","3.674","44.3","26.9","10.3","1.8","0.4","",".","",".","2.2","",".","12.2","",".","",".","1.5",".",".","."
"Prof Yr 2","4","3.167",".","25.0","50.0",".",".","",".","",".",".","",".","25.0","",".","",".",".",".",".","."
"Prof Yr 3","3","4.000","66.7",".",".",".",".","",".","",".",".","",".","33.3","",".","",".",".",".",".","."
"Prof Yr 4","12","3.958","91.7","8.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","19","3.824","68.4","10.5","10.5",".",".","",".","",".",".","",".","10.5","",".","",".",".",".",".","."
"Dept. Total","301","3.681","45.5","25.2","11.0","1.7","0.3","",".","",".","2.0","",".","12.6","",".","",".","1.3",".",".","."
