"URBAN AND REGIONAL PLANNI","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305","001","","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","11","3.227","27.3","45.5","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Design: Theory/Practice","611","001","","16","3.667","37.5","50.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","622","001","","11","3.455","54.5","18.2","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Housing Economics & Policy","641","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Systems & Marketplaces","711","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Res Mgt Pract Plan Smr I","717","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Economics","720","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Planning Analysis","721","001","","15","3.433","6.7","73.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Planning","741","001","","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Central City Planning-Issue","761","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Policy & Planning","843","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Resrce Inst&Policies","865","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning Workshop","912","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","969","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"","999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","10","3.925","80.0",".",".","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
