"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"Myth and Literature","155
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Brit & Amer Lit pre-1914","167
001","28","3.341","17.9","21.4","35.7","3.6",".",".",".",".",".",".",".",".","21.4",".",".","."
"Intro to Modern Lit since 1900","168
001","225","3.244","15.1","36.4","35.6","6.2","4.0","0.4","0.4","1.3",".",".",".",".","0.4",".",".","."
"","169
001","269","3.409","31.6","37.2","21.2","5.6","2.6","0.4","1.1","0.4",".",".",".",".",".",".",".","."
"","002
169","129","3.252","25.6","28.7","32.6","7.8","1.6","2.3","1.6",".",".",".",".",".",".",".",".","."
"","169
003","20","3.200","15.0","45.0","20.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Modern American Literature","Course Total","418","3.341","28.9","34.9","24.6","6.7","2.2","1.2","1.2","0.2",".",".",".",".",".",".",".","."
"Intro-Ethnic&Multicultural Lit","173
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","175
001","18","3.583","61.1","5.6","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","175
002","20","3.600","50.0","30.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Lit & the Other Disciplines","Course Total","38","3.592","55.3","18.4","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","177
001","103","3.786","80.6","13.6","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","002
177","104","3.226","17.3","30.8","41.3","6.7","1.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"Literature and Popular Culture","Course Total","207","3.505","48.8","22.2","22.2","3.4","1.0","0.5","1.9",".",".",".",".",".",".",".",".","."
"","181
001","20","3.550","45.0","25.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
181","15","3.267","13.3","46.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Freshman Honors Seminar","Course Total","35","3.429","31.4","34.3","25.7","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","201
001","17","3.656","52.9","23.5","11.8","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","002
201","18","3.250","22.2","27.8","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","18","3.667","66.7","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","201
004","15","3.533","46.7","26.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201
005","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
201","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","18","3.667","61.1","33.3",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","201
010","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","160","3.686","62.5","20.6","11.3","3.1","0.6","1.3",".",".",".",".",".",".","0.6",".",".","."
"Writing, Rhetoric, & Literacy","204
001","33","3.387","36.4","30.3","15.2","6.1","3.0",".","3.0",".",".",".",".",".","3.0",".",".","3.0"
"","207
001","16","3.563","43.8","37.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","002
207","17","3.529","35.3","47.1","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","207
003","15","3.400","40.0","40.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","207
004","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
005","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
006","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Creative Writing","Course Total","95","3.605","43.2","45.3","8.4",".","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"Shakespearean Drama","001
219","61","3.018","14.8","23.0","24.6","19.7","8.2","3.3",".","4.9",".",".",".",".",".",".","1.6","."
"V Nabokov: Russ&Amer Writng","223
001","30","3.466","40.0","30.0","23.3",".",".",".","3.3",".",".",".",".",".",".","3.3",".","."
"","236
001","14","3.286","21.4","28.6","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Bascom Course","Course Total","30","3.655","60.0","13.3","16.7","6.7",".",".",".",".",".",".",".",".",".",".",".","3.3"
"Literature and Culture I","241
001","130","3.461","43.8","27.7","10.8","9.2","6.2","0.8",".","0.8",".",".",".",".","0.8",".",".","."
"Literature and Culture II","242
001","87","3.429","29.9","40.2","18.4","4.6","3.4","1.1",".",".",".",".",".",".","2.3",".",".","."
