"","990
095","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
097","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
100","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","63","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"NTP
682","Dept. Total","503","3.501","42.1","13.1","13.9","2.4","2.6","1.2","",".","21.3",".","2.2",".","0.2","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","3.893","80.0","20.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","73","3.378","42.5","19.2","19.2","9.6","8.2",".","",".",".",".",".",".",".","1.4",".",".","."
"Senior","","248","3.495","57.3","15.7","18.5","2.0","2.8","2.4","",".",".",".",".",".","0.4","0.8",".",".","."
"Undergraduates","","326","3.473","54.3","16.6","18.4","3.7","4.0","1.8","",".",".",".",".",".","0.3","0.9",".",".","."
"Special","","8","4.000","62.5",".",".",".",".",".","",".","12.5",".",".",".",".","25.0",".",".","."
"Graduate","","148","3.628","16.2","8.1","4.1",".",".",".","",".","65.5",".","6.1",".",".",".",".",".","."
"Prof Yr 3","","11","3.900","36.4",".","9.1",".",".",".","",".","36.4",".","18.2",".",".",".",".",".","."
"Prof Yr 4","","10","3.333","20.0",".","30.0",".",".",".","",".","50.0",".",".",".",".",".",".",".","."
"Professionals","","21","3.688","28.6",".","19.0",".",".",".","",".","42.9",".","9.5",".",".",".",".",".","."
"","Dept. Total","503","3.501","42.1","13.1","13.9","2.4","2.6","1.2","",".","21.3",".","2.2",".","0.2","1.0",".",".","."
