"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","217","2.567","8.3","6.5","23.0","43.3","8.8","6.0","4.1",".",".",".",".",".",".",".",".","."
"201","002","","176","2.372","4.0","8.0","20.5","41.5","8.5","11.4","6.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","393","2.480","6.4","7.1","21.9","42.5","8.7","8.4","5.1",".",".",".",".",".",".",".",".","."
"202
Dynamics","001","","123","2.811","16.3","12.2","30.1","20.3","12.2","5.7","2.4",".",".",".",".",".","0.8",".",".","."
"303
Mechanics of Materials","001","","112","2.879","20.5","15.2","32.1","8.9","13.4","7.1","2.7",".",".",".",".",".",".",".",".","."
"307","001","","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"307","002","","8","2.813","12.5",".","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"307","003","","7","2.857","14.3",".","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"307","004","","10","3.050","20.0","20.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"307","006","","10","3.100","20.0","10.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"307","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","008","","10","2.950","10.0","20.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"307","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","011","","10","2.850","10.0","10.0","50.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"307","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","12","3.000","8.3","25.0","41.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","93","3.038","17.2","16.1","37.6","12.9","15.1",".",".",".",".",".",".",".",".",".","1.1","."
"395
Matrls-Constructed Facilities","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","42","2.893","19.0","19.0","28.6","7.1","16.7","9.5",".",".",".",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","26","3.019","15.4","42.3","7.7","23.1",".","11.5",".",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","39","2.436","15.4","7.7","20.5","7.7","35.9","2.6","10.3",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","43","3.012","11.6","30.2","34.9","14.0","4.7",".","4.7",".",".",".",".",".",".",".",".","."
"541
Heterogeneous&Multiphase Mtrls","001","","15","3.821","73.3","6.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","34","2.364","11.8","5.9","17.6","23.5","14.7","20.6","2.9","2.9",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","18","3.118","11.1","27.8","33.3","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","8","3.375","37.5",".","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"601
Special Topics: Engr Mech","001","","16","3.594","68.8","18.8",".",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","32","3.500","43.8","25.0","15.6",".","9.4",".",".","6.3",".",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"745
Adv Methods-Structurl Dynamics","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 123 of 403",""
