"L&S","","","","","","","","","","","","","","","","","","","",""
"HEBREW (HEBREW AND SEMITI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"101","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"101","002","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"101","003","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","","25","3.820","76.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Biblical Hebrew, I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Introduction to Judaism","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Intro to Biblical Lit","001","","8","3.313","50.0",".","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"301
Intro to Hebrew Literature","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Elementary Biblical Hebrew, I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"343
Israeli Fiction-Translation","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"356
Zionism:Thought, Cultr, Lit","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Modern Hebrew Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Aramaic I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"743
Pentateuchal Narratives","001","","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar-Biblical Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"HEBR ST
440","Dept. Total","","105","3.726","64.8","15.2","11.4","1.9","1.9",".",".","4.8",".",".",".",".",".",".",".","."
