"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.750","66.7","25.0",".","8.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","30","3.850","76.7","20.0",".","3.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","45","3.822","73.3","22.2",".","4.4","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","18","3.833","83.3",".","16.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","64","3.828","76.6","15.6","4.7","3.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
