"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","10","3.778","70.0",".","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","244
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
244","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","312
002","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","316
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","316
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video, Perf & Installation Art","001
318","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Etching","326
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","9","3.185","11.1","44.4","11.1","11.1","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Serigraphy","336
001","","13","3.688","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Art","338
001","","16","3.833","62.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Sound Dsgn-Perf/Visual Arts","341
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Watercolor II","342
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
346","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
346","","14","3.357","42.9","7.1","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","25","3.400","36.0","20.0","36.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","001
348","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","6","3.816","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","376
003","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
376","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","29","3.707","58.6","34.5",".","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429
001","","8","3.250","37.5","25.0","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
003","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
448","","16","3.700","56.3","18.8","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","448
008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
010","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
