"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","003","","18","1.188","5.6",".","27.8",".",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"940","004","","37","0.771","5.4",".","16.2",".",".","2.7",".","5.4",".",".",".",".",".",".",".","."
"940","005","","28","1.080","10.7",".","17.9",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"940","006","","31","0.903","12.9",".","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","007","","12","1.300","8.3",".","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"940","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","17","2.154","23.5",".","23.5",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"940","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940","011","","18","1.438","16.7",".","16.7",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"940","012","","11","2.500","18.2",".","54.5",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"940","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"940","020","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","204","1.360","13.2",".","18.6",".","0.5","0.5","0.5","15.7",".",".",".",".","0.5",".","0.5","0.5"
"942
European Union Law","001","","7","1.286",".",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"950","001","","25","",".",".",".",".",".",".",".","96.0","4.0",".",".",".",".",".",".","."
"950","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","36","",".",".",".",".",".",".",".","97.2","2.8",".",".",".",".",".",".","."
"953
Problems:Bus Org-Seminar","001","","12","1.545","16.7",".","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"957
Intro to Estate Planning","001","","9","1.222",".",".","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"988
Select Probs-Envrnmtl Law","001","","14","1.536","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"989
Environmental Law and Practice","001","","8","1.857","12.5",".","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 328 of 403",""
