"L&S","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","201","2.662","9.5","13.9","23.9","18.9","23.9","5.0","2.0","1.0",".",".",".",".",".",".","2.0","."
"101
Weather and Climate","001","","74","3.054","20.3","23.0","23.0","14.9","18.9",".",".",".",".",".",".",".",".",".",".","."
"102
Climate and Climate Change","001","","22","2.659","18.2","13.6","40.9",".","9.1","4.5","13.6",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","17","2.794","17.6","35.3","11.8","17.6",".","5.9","11.8",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","18","2.618","27.8","11.1","27.8","5.6",".",".","22.2",".",".",".",".",".",".",".","5.6","."
"331
Climatic Environments-Past","001","","16","3.156","25.0","12.5","43.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","27","3.080","14.8","18.5","29.6","25.9","3.7",".",".","7.4",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","18","2.972","16.7",".","55.6","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"528
Past Climates&Climatic Chg","001","","9","3.556","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","13","3.538","46.2","15.4","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","8","2.688","37.5","12.5","25.0",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"698","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","029","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699
Directed Study","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"712
Gen Circulatn of Atmosphere","001","","11","3.600","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"801
Topics-Theoretical Meteor","001","","7","3.921","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","10","",".",".",".",".",".",".",".","90.0",".",".",".",".",".","10.0",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","48","",".",".",".",".",".",".",".","72.9",".",".",".","25.0",".","2.1",".","."
"999
Advanced Independent Study","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 261 of 403",""
