"","999
063","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
089","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
100","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"DMA Recital","Course Total","20","3.938","70.0","10.0",".",".",".",".","",".","",".","",".",".","",".","",".","15.0",".","5.0","."
"MUS PERF
664","Dept. Total","447","3.874","79.0","11.9","3.8","1.1","0.4","0.4","",".","",".","",".",".","",".","",".","2.7",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","60","3.746","66.7","25.0","3.3","3.3","1.7",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","70","3.745","70.0","15.7","12.9",".","1.4",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","68","3.917","86.8","7.4","4.4",".",".",".","",".","",".","",".",".","",".","",".","1.5",".",".","."
"Senior","","107","3.839","80.4","10.3","2.8","2.8",".","1.9","",".","",".","",".",".","",".","",".","1.9",".",".","."
"Undergraduates","","305","3.818","76.7","13.8","5.6","1.6","0.7","0.7","",".","",".","",".",".","",".","",".","1.0",".",".","."
"Special","","7","4.000","85.7",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","14.3","."
"Graduate","","135","3.957","83.7","8.1",".",".",".",".","",".","",".","",".",".","",".","",".","6.7",".","1.5","."
"","Dept. Total","447","3.874","79.0","11.9","3.8","1.1","0.4","0.4","",".","",".","",".",".","",".","",".","2.7",".","0.7","."
