"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","132","2.740","15.9","12.9","22.0","17.4","25.0","3.8","2.3",".",".",".",".",".","0.8",".",".","."
"Introduction to Psychology","201
001","24","2.771","16.7","8.3","20.8","20.8","33.3",".",".",".",".",".",".",".",".",".",".","."
"","202
001","282","2.803","16.7","21.6","10.3","27.3","16.0","3.9","3.2",".","0.4",".",".",".","0.7",".",".","."
"","002
202","171","2.863","15.2","22.2","11.1","33.9","10.5","3.5","1.8","1.2",".",".",".",".",".","0.6",".","."
"","003
202","196","2.621","15.3","14.3","17.3","12.2","28.6","9.7","2.0",".","0.5",".",".",".",".",".",".","."
"","202
004","330","2.716","17.0","17.3","12.4","20.9","23.0","6.1","2.7",".",".",".",".",".","0.3",".",".","0.3"
"","005
202","319","2.772","17.2","18.8","11.9","26.0","17.2","6.3","2.2",".",".",".",".",".",".",".","0.3","."
"Introduction to Psychology","Course Total","1298","2.753","16.5","18.8","12.4","24.0","19.3","5.9","2.5","0.2","0.2",".",".",".","0.2","0.1","0.1","0.1"
"","210
001","59","2.881","25.4","10.2","25.4","6.8","25.4","6.8",".",".",".",".",".",".",".",".",".","."
"","002
210","55","2.528","16.4","9.1","23.6","7.3","27.3","7.3","7.3",".",".",".",".",".","1.8",".",".","."
"","210
003","51","2.569","15.7","9.8","13.7","13.7","41.2","2.0","3.9",".",".",".",".",".",".",".",".","."
"","210
004","34","2.735","14.7","8.8","32.4","8.8","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"","210
005","42","2.805","16.7","9.5","31.0","9.5","28.6",".","2.4",".",".",".",".",".","2.4",".",".","."
"Basic Stats for Psychology","Course Total","241","2.701","18.3","9.5","24.5","9.1","30.3","4.6","2.9",".",".",".",".",".","0.8",".",".","."
"Freshman Seminar in Psychology","211
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","69","3.132","17.4","26.1","34.8","8.7","10.1","1.4",".",".",".",".",".",".","1.4",".",".","."
"","002
225","89","2.972","9.0","27.0","33.7","14.6","13.5","2.2",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","158","3.041","12.7","26.6","34.2","12.0","12.0","1.9",".",".",".",".",".",".","0.6",".",".","."
"Honors Crse-Intro to Psych","281
001","23","3.478","47.8","21.7","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Honors - Research Methods","285
001","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","311
004","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","62","3.979","93.5","3.2","1.6",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","001
386","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
001","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
399","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","22","3.811","77.3","9.1","4.5","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"","411
001","26","3.560","26.9","53.8","15.4",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","411
002","25","3.250","20.0","28.0","28.0","20.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","411
003","24","3.333","20.8","33.3","41.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","004
411","24","3.292","33.3","12.5","41.7","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","411
005","24","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","411
006","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
007","21","3.619","52.4","28.6","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","411
008","22","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
009","11","3.400","36.4","18.2","27.3",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"","010
411","22","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
411","15","3.567","33.3","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
