"Pre-Dissertator Research","Course Total","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"","990
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","1036","2.756","16.4","12.6","24.7","23.5","10.8","6.2","3.2","1.8",".","0.3",".","0.2","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","281","2.471","6.8","7.5","20.6","41.6","9.3","8.9","5.0",".",".",".",".",".","0.4",".",".","."
"Junior","","352","2.720","12.8","11.6","30.1","24.4","12.2","5.7","2.8",".",".",".",".",".",".",".","0.3","."
"Senior","","269","2.863","22.7","18.2","24.5","11.9","11.9","6.7","3.3","0.4",".",".",".",".","0.4",".",".","."
"Undergraduates","","904","2.680","13.9","12.3","25.4","26.1","11.2","7.0","3.7","0.1",".",".",".",".","0.2",".","0.1","."
"Special","","18","3.010","16.7","22.2","27.8","5.6","22.2",".",".","5.6",".",".",".",".",".",".",".","."
"Graduate","","114","3.402","36.0","14.0","18.4","5.3","6.1","0.9",".","14.9",".","2.6",".","1.8",".",".",".","."
"","Dept. Total","1036","2.756","16.4","12.6","24.7","23.5","10.8","6.2","3.2","1.8",".","0.3",".","0.2","0.2",".","0.1","."
