"GEOSCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","",""
"Advanced Topics in Geology","Course Total","60","3.901","83.3","11.7",".",".","3.3",".",".","1.7",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","56","",".",".",".",".",".",".",".","48.2","1.8",".",".","50.0",".",".",".","."
"991
Seminar: Geophysics","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GEOSCI
420","Dept. Total","1525","2.978","26.7","15.9","22.6","11.3","13.4","3.4","1.0","3.1","0.1",".",".","2.2","0.1","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","167","2.842","13.8","19.2","26.9","19.8","15.0","3.6","1.2",".",".",".",".",".",".","0.6",".","."
"Sophomore","","339","2.805","23.0","11.8","23.9","17.4","17.1","4.7","2.1",".",".",".",".",".",".",".",".","."
"Junior","","373","3.009","25.2","18.0","29.0","10.5","12.1","4.6","0.5",".",".",".",".",".",".","0.3",".","."
"Senior","","451","3.019","27.7","19.5","21.7","8.6","16.2","2.7","0.9","0.9",".",".",".","1.1","0.4","0.2",".","."
"Undergraduates","","1330","2.930","24.1","17.1","25.0","12.8","15.1","3.8","1.1","0.3",".",".",".","0.4","0.2","0.2",".","."
"Special","","25","3.739","24.0","8.0","4.0",".",".",".",".","60.0",".",".",".",".",".",".","4.0","."
"Graduate","","170","3.612","47.6","7.6","6.5","1.2","2.4","0.6",".","17.1","0.6",".",".","16.5",".",".",".","."
"","Dept. Total","1525","2.978","26.7","15.9","22.6","11.3","13.4","3.4","1.0","3.1","0.1",".",".","2.2","0.1","0.2","0.1","."
