"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Climate and Climate Change","102","001","11","3.045","9.1","36.4","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","41","2.573","9.8","7.3","31.7","19.5","22.0","4.9","4.9",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","173","3.401","41.0","23.1","22.5","4.0","5.8","1.7","0.6","1.2",".",".",".",".",".",".",".","."
"Global Phys Environments","120","001","63","2.952","17.5","15.9","33.3","22.2","4.8","4.8","1.6",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","16","3.250","18.8","37.5","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","64","3.211","29.7","21.9","31.3","4.7","7.8","4.7",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","18","3.824","72.2","11.1","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Directed Study","199","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","31","3.823","80.6","9.7","6.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","46","3.411","32.6","47.8","6.5","2.2","4.3","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","56","2.882","21.4","5.4","46.4","3.6","12.5","5.4","3.6",".",".",".",".",".",".",".","1.8","."
"Soils and Envrnmtl Quality","324","001","7","2.786","28.6","14.3","14.3","28.6",".",".","14.3",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","24","3.146","16.7","12.5","54.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","40","2.988","5.0","27.5","35.0","25.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","95","2.789","13.7","10.5","31.6","18.9","22.1","1.1","2.1",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","17","3.397","47.1","17.6","17.6",".","5.9","5.9",".",".",".",".",".",".","5.9",".",".","."
"Extinction of Species","360","001","58","3.000","15.5","22.4","32.8","15.5","8.6","5.2",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","14","3.577","42.9","28.6","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","8","3.563","62.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375","001","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","005","29","3.397","48.3","13.8","17.2","10.3","10.3",".",".",".",".",".",".",".",".",".",".","."
"","402","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","41","3.700","63.4","17.1","12.2","2.4","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","402","003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","005","37","3.919","86.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","007","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","008","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","169","3.790","82.2","10.1","5.3","1.2","0.6",".",".","0.6",".",".",".",".",".",".",".","."
"","404","001","14","3.385","28.6","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".","7.1","."
"","404","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Envir: Humanistic","","Course Total","15","3.429","33.3","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7","."
"Energy Resources","411","001","33","2.985","9.1","24.2","33.3","21.2","12.1",".",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","23","3.500","39.1","26.1","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","7","3.071","42.9",".","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","22","3.477","45.5","31.8","4.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","109","3.584","47.7","26.6","18.3","3.7","1.8",".",".","0.9",".",".",".",".","0.9",".",".","."
"","506","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","506","003","12","3.950","75.0","8.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 154 of 403",""
