"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"Engr Applicatns of Statistics","416
001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Japanese for Bus & Industry","601
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","603
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","603
003","","6","3.714","16.7","16.7",".",".",".",".",".",".",".",".",".",".","66.7",".",".","."
"Adv Technical Japanese Smr","Course Total","","8","3.800","25.0","12.5",".",".",".",".",".",".",".",".",".",".","62.5",".",".","."
"Rsch-Japanese Technical Lit","604
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","","29","3.603","41.4","37.9","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","","32","4.000","96.9",".",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Engine Design II","623
001","","17","3.469","35.3","29.4","23.5",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Engine Systems and Controls","629
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","641
001","","16","3.781","68.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","641
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essential Skills-Engr Prod","Course Total","","28","3.875","82.1","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Teaching in Science & Engr","654
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
001","","8","3.429","37.5","25.0",".","25.0",".",".",".",".",".",".",".",".","12.5",".",".","."
"","003
660","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Core Comp of Sustainability","Course Total","","20","3.684","65.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Sustainable Systems Capstone","669
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","003
690","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
013","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","35","3.911","91.4","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
