"Int'l Health & Global Society","753
001","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Grad Studies-Medical Hist","919
001","6","3.700","33.3","50.0",".",".","",".",".","",".","","16.7",".","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
003","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
452","Dept. Total","177","3.493","31.1","36.7","26.0","3.4","",".","",".","",".","1.7","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.167","11.1","22.2","55.6","11.1","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","33","3.258","12.1","30.3","54.5","3.0","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","32","3.625","46.9","34.4","15.6","3.1","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","61","3.547","36.1","41.0","18.0","4.9","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","135","3.469","31.1","35.6","28.9","4.4","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","6","3.500","16.7","16.7","33.3",".","",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Graduate","","32","3.670","34.4","46.9","9.4",".","",".","",".","",".","3.1","",".",".","",".","",".","6.3",".",".","."
"Prof Yr 3","","2","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","2","3.625","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","4","3.417","25.0","25.0","50.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","177","3.493","31.1","36.7","26.0","3.4","",".","",".","",".","1.7","",".",".","",".","",".","1.1",".",".","."
