"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","20","3.722","80.0",".","5.0",".",".",".","5.0",".",".",".",".",".","10.0",".",".","."
"Signals, Information & Comp","203
001","116","3.185","32.8","10.3","38.8","7.8","6.9","1.7","1.7",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","210
001","139","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","108","3.889","87.0","5.6","6.5",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","83","2.988","26.5","14.5","21.7","16.9","12.0","7.2",".",".",".",".",".",".","1.2",".",".","."
"Circuit Analysis","230
001","128","3.008","29.7","21.1","14.8","8.6","18.0","6.3","1.6",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","38","2.895","21.1","10.5","26.3","21.1","18.4",".","2.6",".",".",".",".",".",".",".",".","."
"","252
001","130","3.212","40.0","22.3","10.8","13.8","6.2","3.8","3.1",".",".",".",".",".",".",".",".","."
"","002
252","37","3.149","24.3","21.6","27.0","13.5","13.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","167","3.198","36.5","22.2","14.4","13.8","7.8","3.0","2.4",".",".",".",".",".",".",".",".","."
"","270
001","37","3.541","67.6","5.4","13.5","5.4","5.4",".","2.7",".",".",".",".",".",".",".",".","."
"","270
002","60","3.568","70.0","1.7","20.0",".","1.7","1.7","3.3",".",".",".",".",".","1.7",".",".","."
"Circuits Laboratory I","Course Total","97","3.557","69.1","3.1","17.5","2.1","3.1","1.0","3.1",".",".",".",".",".","1.0",".",".","."
"","271
001","27","3.556","66.7","14.8","3.7",".","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"","271
002","33","3.364","57.6","24.2","6.1",".",".","3.0","9.1",".",".",".",".",".",".",".",".","."
"","271
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","61","3.459","62.3","19.7","4.9",".","4.9","3.3","4.9",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
002","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
315","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","43","3.895","79.1","20.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","18","3.306","44.4","5.6","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","56","2.920","16.1","19.6","19.6","32.1","8.9","1.8","1.8",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","15","3.214","6.7","33.3","46.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","22","3.295","27.3","27.3","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","77","2.890","27.3","14.3","15.6","13.0","22.1","6.5","1.3",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","30","3.267","26.7","26.7","33.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","352
001","66","3.273","27.3","30.3","25.8","9.1","4.5","3.0",".",".",".",".",".",".",".",".",".","."
"","002
352","28","2.786","21.4","28.6","17.9","7.1","3.6","14.3","7.1",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","94","3.128","25.5","29.8","23.4","8.5","4.3","6.4","2.1",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","64","3.078","23.4","26.6","26.6","7.8","10.9",".","4.7",".",".",".",".",".",".",".",".","."
"","001
354","42","3.171","42.9","9.5","21.4","9.5","7.1","2.4","4.8",".",".",".",".",".",".",".","2.4","."
"","354
002","13","2.654","23.1","7.7","30.8","15.4","7.7",".","15.4",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","55","3.046","38.2","9.1","23.6","10.9","7.3","1.8","7.3",".",".",".",".",".",".",".","1.8","."
"Elect Power for Alt Energy Sys","001
356","28","3.089","17.9","21.4","32.1","17.9","10.7",".",".",".",".",".",".",".",".",".",".","."
"","370
002","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
