"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","14","3.833","78.6",".",".",".","7.1",".",".",".",".",".",".",".","14.3",".",".","."
"200
Biomedical Engr Design","001","","63","3.563","30.2","52.4","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Biomed Engineering Design","001","","98","3.597","42.9","40.8","13.3","1.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","88","3.511","35.2","42.0","17.0","3.4","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","9","2.222",".",".","22.2","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"389","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"399","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","100","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","53","3.978","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Capstone Design Course","001","","77","3.669","48.1","40.3","9.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"462
Medical Instrumentation","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Radiolgcal Physcs&Dosimetry","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","37","3.554","45.9","21.6","29.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"511
Tissue Engineering Laboratory","001","","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","38","",".",".",".",".",".",".",".",".",".","92.1","7.9",".",".",".",".","."
"535
Intro to Energy-Tissue Interac","001","","19","3.395","31.6","36.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"550
Intro to Biolog & Med Microsys","001","","31","3.435","25.8","35.5","38.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Physics-Diagnostic Radiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Special Topics-Biomed Engr","001","","18","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","24","3.674","54.2","25.0","12.5","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"619
Microscopy of Life","001","","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 106 of 403",""
