"","AGRICULTURAL AND APPLIED E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ- A A E","1","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","215","001","123","3.270","35.8","13.0","32.5","11.4","3.3","3.3",".",".",".",".",".",".","0.8",".",".","."
"Climate Change Econ & Policy","246","001","29","3.232","20.7","27.6","31.0","10.3","6.9",".",".",".",".",".",".",".",".",".","3.4","."
"Independent Study","299","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","306","001","27","2.885","18.5","11.1","18.5","25.9","22.2",".",".","3.7",".",".",".",".",".",".",".","."
"The Internatl Ag Economy","319","001","25","2.900","28.0","16.0","16.0","12.0","16.0","12.0",".",".",".",".",".",".",".",".",".","."
"Farming Systems Management","320","001","76","3.349","28.9","39.5","13.2","9.2","9.2",".",".",".",".",".",".",".",".",".",".","."
"Cooperatives","323","001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Economics","343","001","32","3.214","37.5","25.0","21.9","6.3",".","3.1","6.3",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","25","3.160","28.0","20.0","36.0","4.0","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","061","7","3.891","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","086","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","093","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","097","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","20","3.918","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Finance","419","001","66","3.167","33.3","16.7","22.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Property Rights","540","001","7","3.333","14.3","28.6","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Applied Microeconomic Thry","635","001","16","3.281","12.5","43.8","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal I","636","001","22","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","8","3.605","62.5",".","12.5","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Agricultural Economics 1","746","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir & Resource Econ 2","762","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","799","089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 1 of 403"
