"GEOLOGICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291
001","19","2.842","5.3","26.3","26.3","15.8","26.3",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330
001","11","2.591","27.3",".","27.3","9.1","9.1","27.3",".",".",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360
001","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geological Engr","401
001","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431
001","18","3.139","16.7","22.2","50.0","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Foundations","532
001","17","3.250","5.9","35.3","52.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594
001","34","3.029","23.5","20.6","32.4","8.8","5.9","5.9","2.9",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","001
595","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627
001","38","3.026","23.7","7.9","47.4","7.9","7.9","2.6","2.6",".",".",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Groundwater Flow Modeling","001
724","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","8","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","890
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","3","***","","","","","","","","","","","","","","","",""
"Research and Thesis","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"G L E
418","Dept. Total","220","3.134","35.9","15.9","27.3","5.5","5.5","3.2","0.9","3.2",".",".",".","2.7",".",".",".","."
