"Fifth Semester Urdu","571
001","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"7th Semester Asian Language","601
001","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Reading-Turkic Languages","631
001","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Readings in Tibetan","677
001","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LCA LANG
522","Dept. Total","221","3.825","76.5","12.7","8.1","1.4","0.5","",".","",".","",".","",".",".","",".","",".","0.5","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","40","3.833","77.5","12.5","10.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","39","3.794","71.8","15.4","12.8",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","48","3.791","70.8","16.7","8.3","4.2",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","53","3.782","75.5","9.4","9.4","1.9","1.9","",".","",".","",".","",".",".","",".","",".",".","1.9",".","."
"Undergraduates","","180","3.799","73.9","13.3","10.0","1.7","0.6","",".","",".","",".","",".",".","",".","",".",".","0.6",".","."
"Special","","7","3.926","85.7","14.3",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","34","3.954","88.2","8.8",".",".",".","",".","",".","",".","",".",".","",".","",".","2.9",".",".","."
"","Dept. Total","221","3.825","76.5","12.7","8.1","1.4","0.5","",".","",".","",".","",".",".","",".","",".","0.5","0.5",".","."
