"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"826
Fld Project-Lib&Info Literacy","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"847
Topics in User Services","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"853
Metadata Standards & Apps","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","002","","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"855","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"855","005","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","35","3.575","31.4","57.1","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"861","001","","13","3.615","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"861","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Architecture","Course Total","","18","3.639","27.8","72.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Topics-Info Procsng&Retrvl","002","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"879","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"879","002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Libraries","Course Total","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Smr-LIS Foundatns:Hist&Philos","001","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","7","4.000","42.9",".",".",".",".",".",".",".",".",".",".",".","28.6",".","28.6","."
