"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
001","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","110
002","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"","110
003","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
004","13","",".",".",".",".",".",".",".",".",".","76.9","23.1",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","44","",".",".",".",".",".",".",".",".",".","86.4","13.6",".",".",".",".","."
"Int. English Language Skills","114
001","11","",".",".",".",".",".",".",".",".",".","81.8","9.1",".",".",".","9.1","."
"","115
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","003
115","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"Grammar for Academic Use","Course Total","33","",".",".",".",".",".",".",".",".",".","97.0","3.0",".",".",".",".","."
"","116
001","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","116
002","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","116
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","004
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
007","16","",".",".",".",".",".",".",".",".",".","75.0","25.0",".",".",".",".","."
"","116
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","009
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
011","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
012","17","",".",".",".",".",".",".",".",".",".","82.4","17.6",".",".",".",".","."
"","013
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","014
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
015","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","116
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","209","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","117
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","004
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","005
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
006","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
008","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
009","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
011","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
012","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","013
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","014
117","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","117
015","17","",".",".",".",".",".",".",".",".",".","88.2","5.9",".",".",".",".","5.9"
"","117
018","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing I","Course Total","235","",".",".",".",".",".",".",".",".",".","94.5","5.1",".",".",".",".","0.4"
"","001
118","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
004","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","15","3.500","26.7","53.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","15","2.667","26.7","13.3",".","40.0","6.7",".","13.3",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 205 of 403",""
