"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","263","3.008","27.8","12.5","27.8","11.8","14.1","4.9","1.1",".",".",".",".",".",".",".",".","."
"","102
001","38","3.250","28.9","15.8","42.1","7.9","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","102
002","38","3.132","15.8","15.8","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","37","3.243","18.9","24.3","43.2","13.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","40","3.325","42.5","7.5","37.5","2.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","153","3.239","26.8","15.7","42.5","11.1","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","322","3.047","26.1","14.6","30.1","8.4","17.7","2.5","0.6",".",".",".",".",".",".",".",".","."
"","304
001","36","3.167","25.0","19.4","30.6","13.9","11.1",".",".",".",".",".",".",".",".",".",".","."
"","304
002","39","3.154","23.1","17.9","35.9","12.8","10.3",".",".",".",".",".",".",".",".",".",".","."
"","304
003","40","3.200","25.0","15.0","42.5","10.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"","304
004","40","3.125","17.5","10.0","57.5","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","304
005","38","2.974","18.4","15.8","28.9","15.8","21.1",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","193","3.124","21.8","15.5","39.4","12.4","10.9",".",".",".",".",".",".",".",".",".",".","."
"","305
001","18","3.722","88.9",".","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","305
002","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","305
003","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
305","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","62","3.831","88.7","1.6","6.5",".","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","003
324","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","001
325","86","2.930","15.1","15.1","40.7","5.8","20.9","1.2","1.2",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","39","3.115","41.0","5.1","25.6","7.7","15.4","2.6","2.6",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","49","3.173","36.7","10.2","28.6","8.2","14.3",".","2.0",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","60","3.375","53.3","10.0","16.7","8.3","6.7","5.0",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","527
001","86","3.282","34.9","17.4","30.2","5.8","8.1","2.3",".",".",".",".",".",".","1.2",".",".","."
"Immunology","528
001","67","2.739","31.3","6.0","23.9","1.5","19.4","13.4","4.5",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","20","3.175","30.0","15.0","35.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","001
640","30","3.259","36.7","10.0","33.3","6.7","6.7","3.3",".",".",".",".",".",".",".",".","3.3","."
"Biol & Genetics-Filament Fungi","655
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
