"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Modlng&Analysis of Envr Sys","Course Total","","21","3.972","81.0","4.8",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"513
Enivr&Hlth-Global Perspective","001","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Philos Prblms-Biol Sciences","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"528
Past Climates&Climatic Chg","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"600","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","004","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","005","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","006","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","55","3.873","81.8","14.5","1.8",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","9","3.905","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","3.919","73.7","15.8",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"717
Water Res Mgt Pract Plan Smr I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"809
Intro-Energy Analysis & Policy","001","","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"865
Water Resrce Inst&Policies","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","25","3.977","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Envr St Orient Fld Trip&Smr","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Colloq-Trnsportatn Mgmt&Policy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"975
Envir Cons Leadership Sem III","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"977
Sustainable Development","001","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
