"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"","521
002","","31","3.000","25.8","12.9","35.5","6.5","12.9","3.2","3.2",".",".",".",".",".",".",".",".","."
"","521
003","","21","3.075","23.8","9.5","38.1","4.8","19.0",".",".",".","4.8",".",".",".",".",".",".","."
"Analysis I","Course Total","","74","3.110","31.1","14.9","29.7","4.1","14.9","1.4","2.7",".","1.4",".",".",".",".",".",".","."
"","001
522","","21","3.350","33.3","19.0","38.1",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"","522
002","","20","3.425","40.0","45.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Analysis II","Course Total","","41","3.388","36.6","31.7","19.5","4.9",".","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","","8","2.125","12.5","12.5","12.5","12.5",".","50.0",".",".",".",".",".",".",".",".",".","."
"","541
001","","34","2.912","17.6","23.5","11.8","17.6","29.4",".",".",".",".",".",".",".",".",".",".","."
"","541
002","","37","2.878","32.4","13.5","16.2","10.8","16.2","2.7","8.1",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","","71","2.894","25.4","18.3","14.1","14.1","22.5","1.4","4.2",".",".",".",".",".",".",".",".","."
"Elementary Topology","551
001","","17","2.625","23.5",".","29.4",".","29.4","5.9","5.9",".",".",".",".",".",".",".","5.9","."
"Elementary Number Theory","567
001","","29","2.926","24.1","24.1","17.2","10.3","3.4","6.9","6.9","3.4",".",".",".",".",".","3.4",".","."
"Mathematical Logic","571
001","","25","3.540","64.0","4.0","20.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Math Mthds-Structural Biology","606
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","623
001","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","","22","3.071","40.9",".","22.7","13.6","13.6",".","4.5",".","4.5",".",".",".",".",".",".","."
"","632
002","","35","3.294","48.6","11.4","14.3","5.7","14.3",".","2.9","2.9",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","57","3.209","45.6","7.0","17.5","8.8","14.0",".","3.5","1.8","1.8",".",".",".",".",".",".","."
"Senior Honors Thesis","681
066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Methods of Applied Math 1","001
703","","33","3.909","93.9",".","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714
001","","32","3.906","90.6",".","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","721
002","","15","3.607","46.7","20.0","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","721
003","","23","3.600","39.1","26.1","21.7",".",".",".",".","8.7",".",".",".",".","4.3",".",".","."
"First Crse in Real Analysis","Course Total","","38","3.603","42.1","23.7","23.7",".",".",".",".","7.9",".",".",".",".","2.6",".",".","."
"","733
001","","21","3.333","28.6","23.8","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","733
002","","21","3.211","19.0","9.5","52.4","9.5",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"Theory of Probability I","Course Total","","42","3.275","23.8","16.7","45.2","7.1","2.4",".",".","2.4",".",".",".",".","2.4",".",".","."
"Stochastic Analysis","735
001","","23","3.450","34.8","13.0","34.8","4.3",".",".",".","13.0",".",".",".",".",".",".",".","."
"Abstract Algebra","741
001","","23","3.524","43.5","17.4","21.7","8.7",".",".",".",".",".",".",".",".","8.7",".",".","."
"Lie Algebras","747
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","748
001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751
001","","19","3.579","47.4","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761
001","","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763
001","","19","3.447","52.6","15.8","26.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computability Theory","773
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
