"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","38","2.000","26.3",".","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","15","1.733",".",".","53.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","602
002","16","1.625","12.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","Course Total","31","1.677","6.5",".","45.2",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
001","65","1.323","7.7",".","30.8",".","4.6",".",".",".",".",".",".",".",".",".",".","."
"","711
002","68","1.250","7.4",".","30.9",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","711
003","27","1.296","11.1",".","25.9",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","711
004","29","0.655","3.4",".","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","189","1.190","7.4",".","28.0",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","714
001","42","1.167","2.4",".","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
003","42","1.238","4.8",".","33.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","714
004","38","1.026","7.9",".","23.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
005","38","1.237","7.9",".","28.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","160","1.169","5.6",".","30.6",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","723
001","18","1.389","11.1",".","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
002","18","1.167","5.6",".","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
003","18","0.722","5.6",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","17","2.000","5.9",".","58.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","17","1.235",".",".","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","17","0.882",".",".","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","17","1.875",".",".","58.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","723
008","19","0.947",".",".","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","18","1.471","5.6",".","38.9",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Legal Research and Writing","Course Total","159","1.287","3.8",".","36.5",".","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"","726
001","55","1.818","5.5",".","50.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","726
002","27","1.407","7.4",".","37.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
003","28","1.536","7.1",".","39.3",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","726
004","25","1.400","12.0",".","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","726
005","26","0.692",".",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","161","1.453","6.2",".","38.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","731
001","14","1.250","7.1",".","21.4",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"","731
002","40","1.449","10.0",".","27.5",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","54","1.405","9.3",".","25.9",".","9.3",".",".","3.7",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","47","1.233","8.5",".","23.4",".","4.3",".","2.1","8.5",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","22","2.045","31.8",".","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Religion and the Constitution","739
001","9","1.111","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","26","1.048","11.5",".","7.7",".","7.7",".",".","19.2",".",".",".",".",".",".",".","."
"","740
002","32","1.156","12.5",".","21.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","58","1.113","12.1",".","15.5",".","3.4",".",".","8.6",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","46","0.805","8.7",".","10.9",".","2.2",".",".","10.9",".",".",".",".",".",".",".","."
"Taxation I","742
001","67","1.281","16.4",".","14.9",".","6.0",".","1.5","4.5",".",".",".",".",".",".",".","."
"","743
001","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 325 of 403",""
