"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","381
001","","106","3.305","38.7","16.0","28.3","2.8","11.3","1.9",".",".",".",".",".",".","0.9",".",".","."
"","382
001","","23","3.250","21.7","4.3","69.6",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","382
002","","15","3.467","40.0","20.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","382
003","","24","3.239","20.8","8.3","62.5","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"","382
004","","16","3.219","18.8","18.8","56.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","382
005","","20","3.100","15.0","5.0","70.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","","98","3.245","22.4","10.2","60.2","3.1","2.0",".",".","1.0",".",".",".",".","1.0",".",".","."
"Organismal Biology","485
001","","102","3.173","25.5","9.8","48.0","4.9","10.8",".",".",".",".",".",".",".","1.0",".",".","."
"","486
001","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","486
002","","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","486
003","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","","39","3.577","43.6","30.8","23.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","","375","3.295","36.3","13.1","39.2","3.2","6.7","0.5",".","0.3",".",".",".",".","0.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","65","3.086","16.9","15.4","50.8","6.2","9.2","1.5",".",".",".",".",".",".",".",".",".","."
"Junior","","","194","3.286","34.0","12.9","40.2","3.1","7.2","0.5",".","0.5",".",".",".",".","1.5",".",".","."
"Senior","","","116","3.430","50.9","12.1","31.0","1.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","375","3.295","36.3","13.1","39.2","3.2","6.7","0.5",".","0.3",".",".",".",".","0.8",".",".","."
"","Dept. Total","","375","3.295","36.3","13.1","39.2","3.2","6.7","0.5",".","0.3",".",".",".",".","0.8",".",".","."
