"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100","001","258","2.816","17.1","16.3","22.9","17.8","17.1","7.0","1.2","0.4",".",".",".",".",".","0.4",".","."
"Physiol of Human Performance","115","001","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","001","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","","Course Total","46","3.902","80.4","19.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","96","3.807","75.0","16.7","6.3","1.0",".","1.0",".",".",".",".",".",".",".",".",".","."
"","123","001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","123","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living well: LIfestyle balance","","Course Total","39","3.949","92.3","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125","001","22","4.000","9.1",".",".",".",".",".",".","81.8",".",".",".",".",".",".","9.1","."
"","125","002","20","4.000","5.0",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"","125","003","24","4.000","4.2",".",".",".",".",".",".","87.5",".",".",".",".",".",".","8.3","."
"","125","004","19","",".",".",".",".",".",".",".","94.7",".",".",".",".",".",".","5.3","."
"Adapted Fitness&Pers Traing","","Course Total","85","4.000","4.7",".",".",".",".",".",".","89.4",".",".",".",".",".",".","5.9","."
"Intro to Athletic Training","127","001","40","3.256","25.0","30.0","22.5","15.0","2.5","2.5",".","2.5",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","129","001","22","3.342","13.6","36.4","31.8","4.5",".",".",".","9.1",".",".",".",".",".",".",".","4.5"
"","134","001","15","3.333","20.0","33.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","134","002","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movement Techs for Stress","","Course Total","30","3.400","23.3","36.7","36.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","39","3.974","92.3","5.1",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","300","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","70","3.982","95.7","2.9",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Adv Tech-Athletic Training","301","001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","53","3.292","17.0","43.4","26.4","7.5","5.7",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","56","3.393","33.9","33.9","16.1","12.5","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","60","3.483","26.7","48.3","18.3","3.3","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"Methods of Teachng Elem Phy Ed","335","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","62","3.476","35.5","30.6","29.0","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"PE in a Multicultural Society","353","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","21","3.842","66.7","19.0","4.8",".",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"Therapeutic Strategies II","358","001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","28","3.786","78.6","10.7",".","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","63","3.381","33.3","28.6","22.2","12.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 100 of 403",""
