"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","854
009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
011","","12","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","854
012","","22","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","18.2"
"","854
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
014","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
015","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
016","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
018","","22","",".",".",".",".",".",".",".","95.5",".",".",".",".","4.5",".",".","."
"","854
019","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
020","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
021","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","11.1"
"","854
022","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
023","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","","216","",".",".",".",".",".",".",".","94.4",".",".",".",".","0.5",".",".","5.1"
"Advanced Criminal Procedure","860
001","","10","",".",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","30.0"
"Institutionalized Persons","862
001","","22","",".",".",".",".",".",".",".","72.7",".",".",".",".",".",".",".","27.3"
"State and Local Taxation","868
001","","9","1.167","11.1",".","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"International Trade Law","871
001","","21","1.474","19.0",".","19.0",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Immigration Law","873
001","","19","1.294","10.5",".","21.1",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Client Counselling","880
001","","11","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","18.2"
"Wisconsin Internl Law Journ","895
001","","65","",".",".",".",".",".",".",".","98.5",".",".",".",".","1.5",".",".","."
"Wisconsin Journal of Law","896
001","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","82","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
001","","23","1.957","13.0",".","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
904","","14","1.214","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
904","","11","2.095","27.3",".","18.2",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","","48","1.742","16.7",".","33.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Securities Regulation","914
001","","22","0.900","13.6",".","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","915
001","","13","1.333","7.7",".","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","915
002","","26","1.565","11.5",".","30.8",".",".",".",".","7.7",".",".",".",".",".",".","3.8","."
"","915
003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","915
004","","12","1.417","16.7",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","","57","1.473","10.5",".","26.3",".",".",".",".","15.8",".",".",".",".",".",".","1.8","."
"","918
001","","13","1.538","15.4",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
918","","11","1.950","18.2","9.1","18.2",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Problems: Intl Law Seminar","Course Total","","24","1.717","16.7","4.2","25.0",".","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"Problems: Tort Law Seminar","926
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems- Land Law Seminar","928
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems of Adm Law-Seminar","932
001","","11","1.091",".",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Torts II","936
001","","18","1.222","16.7",".","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","9","1.429","11.1",".","22.2",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 327 of 403",""
