"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","36","3.208","25.0","25.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","29","3.086","31.0","24.1","10.3","27.6",".",".","6.9",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","36","3.417","52.8","8.3","25.0","8.3","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","18","3.324","16.7","27.8","50.0",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"428
Nuclear Reactor Laboratory","002","","13","3.308","30.8","46.2","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"528
Plasma Processng & Technlgy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"536
Power-Thermonuclear Fusion","001","","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Nuclear Power Engr","001","","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Nuclear Reactor Dynamics","001","","30","3.383","23.3","36.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","3.826","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","12","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","35","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"903
Spec Topics-Plasma Physics","001","","17","3.500","41.2","17.6","29.4","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
