"","990
028","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
092","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","30","",".",".",".",".","",".","",".","",".","66.7",".",".",".","13.3","3.3",".","16.7","."
"POP HLTH
810","Dept. Total","869","3.785","42.2","9.8","5.6","0.6","",".","",".","",".","22.0",".","15.5",".","0.5","2.5",".","0.9","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","10","3.750","60.0","30.0","10.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","50","3.620","48.0","30.0","16.0","4.0","",".","",".","",".",".",".","2.0",".",".",".",".",".","."
"Undergraduates","","62","3.648","51.6","29.0","14.5","3.2","",".","",".","",".",".",".","1.6",".",".",".",".",".","."
"Special","","17","3.792","70.6","17.6","5.9",".","",".","",".","",".",".",".",".",".",".",".",".","5.9","."
"Graduate","","189","3.789","60.3","16.4","7.4","0.5","",".","",".","",".","10.6",".",".",".","1.6","1.1",".","2.1","."
"Prof Yr 1","","278","3.823","6.8","1.1","0.4",".","",".","",".","",".","61.2",".","28.1",".",".","0.7",".","0.7","0.7"
"Prof Yr 2","","43","4.000","67.4",".",".",".","",".","",".","",".","2.3",".","27.9",".",".",".",".","2.3","."
"Prof Yr 3","","18","3.957","83.3","5.6",".",".","",".","",".","",".",".",".","11.1",".",".",".",".",".","."
"Prof Yr 4","","262","3.793","55.7","11.1","9.2","0.8","",".","",".","",".",".",".","16.0",".","0.4","6.9",".",".","."
"Professionals","","601","3.820","34.8","5.5","4.2","0.3","",".","",".","",".","28.5",".","22.3",".","0.2","3.3",".","0.5","0.3"
"","Dept. Total","869","3.785","42.2","9.8","5.6","0.6","",".","",".","",".","22.0",".","15.5",".","0.5","2.5",".","0.9","0.2"
