"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","365
022","23","3.783","78.3",".","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","023
365","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
024","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
025","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
026","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
027","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
028","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
029","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
033","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","034
365","24","3.813","79.2","4.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","035
365","23","3.848","78.3","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","365
036","24","3.783","75.0",".","20.8",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","365
037","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
038","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
039","27","3.722","63.0","18.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
040","24","3.568","41.7","29.2","12.5","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","365
041","20","3.775","85.0","5.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","042
365","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
043","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
365","28","3.518","42.9","25.0","28.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","365
045","25","3.420","28.0","44.0","12.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","046
365","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
047","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
048","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","365
049","25","3.938","84.0","12.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","050
365","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
051","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","052
365","16","3.656","75.0","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","365
053","21","3.725","71.4","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","365
054","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
055","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","1160","3.817","81.7","9.3","6.4","0.9","1.1","0.1",".",".",".",".",".",".","0.3",".",".","0.1"
"Prof Experience in Business","450
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","704
001","50","3.580","44.0","30.0","24.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","50","3.480","24.0","48.0","24.0","2.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"Data to Decisions","Course Total","100","3.530","34.0","39.0","24.0","2.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"Ethics, Integrity and Society","710
001","99","3.677","42.4","51.5","5.1","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","765
031","33","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","965
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
