"","890
021","","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","890
022","","3","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Individual Research Thesis","Course Total","","6","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".",".",".",".","."
"Seminar-History","001
930","","9","3.611","33.3","55.6","11.1",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"GREEK
428","Dept. Total","","60","3.572","45.0","20.0","13.3","3.3","3.3","",".","",".","11.7",".",".",".","",".","3.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.000","25.0",".","25.0",".","25.0","",".","",".",".",".",".",".","",".","25.0",".",".","."
"Sophomore","","","1","2.500",".",".",".","100.0",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","","7","3.271","28.6","28.6","28.6",".","14.3","",".","",".",".",".",".",".","",".",".",".",".","."
"Senior","","","20","3.608","50.0","25.0","20.0","5.0",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","","32","3.419","40.6","21.9","21.9","6.3","6.3","",".","",".",".",".",".",".","",".","3.1",".",".","."
"Special","","","5","4.000","60.0",".",".",".",".","",".","",".","20.0",".",".",".","",".","20.0",".",".","."
"Graduate","","","23","3.794","47.8","21.7","4.3",".",".","",".","",".","26.1",".",".",".","",".",".",".",".","."
"","Dept. Total","","60","3.572","45.0","20.0","13.3","3.3","3.3","",".","",".","11.7",".",".",".","",".","3.3",".",".","."
