"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","255","3.295","16.9","40.4","31.4","7.5","3.1","0.4",".",".",".",".",".",".",".",".","0.4","."
"","002
300","243","3.225","8.2","42.8","37.9","7.4","1.2","1.2",".","0.4",".",".",".",".","0.4",".","0.4","."
"","300
003","135","3.226","8.1","43.0","38.5","8.1","1.5","0.7",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","633","3.254","11.7","41.9","35.4","7.6","2.1","0.8",".","0.2",".",".",".",".","0.2",".","0.3","."
"","001
305","55","3.315","27.3","21.8","36.4","10.9","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"","305
002","50","3.380","24.0","36.0","34.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","305
003","49","3.531","40.8","26.5","30.6","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","154","3.405","30.5","27.9","33.8","5.8","1.3",".",".","0.6",".",".",".",".",".",".",".","."
"","310
001","48","3.333","25.0","22.9","45.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","50","3.337","28.0","24.0","32.0","14.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"","310
003","37","3.527","32.4","45.9","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","135","3.388","28.1","29.6","32.6","8.9",".",".",".","0.7",".",".",".",".",".",".",".","."
"","335
001","53","3.283","17.0","39.6","30.2","9.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"","335
002","48","3.177","16.7","27.1","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","101","3.233","16.8","33.7","33.7","10.9","5.0",".",".",".",".",".",".",".",".",".",".","."
"","365
001","23","3.478","26.1","52.2","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","38","3.368","26.3","39.5","21.1","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"","365
003","50","3.781","62.0","26.0","8.0",".",".",".",".","2.0",".",".",".",".",".",".","2.0","."
"Contemporary Topics","Course Total","111","3.573","42.3","36.0","13.5","4.5","1.8",".",".","0.9",".",".",".",".",".",".","0.9","."
"Reading & Rsch-Marketing","399
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","38","3.645","60.5","26.3","7.9","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","36","3.444","41.7","19.4","27.8","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422
001","44","3.398","25.0","40.9","25.0","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","28","3.446","39.3","35.7","17.9","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"","425
001","29","3.190","20.7","24.1","41.4","6.9","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","002
425","43","3.233","9.3","44.2","32.6","11.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"","425
003","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","83","3.247","16.9","34.9","34.9","9.6","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"","460
001","45","3.400","31.1","24.4","37.8","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
460","43","3.524","41.9","32.6","16.3","4.7",".","2.3",".","2.3",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","88","3.460","36.4","28.4","27.3","5.7",".","1.1",".","1.1",".",".",".",".",".",".",".","."
"","640
001","14","3.357","28.6","28.6","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","640
002","18","2.528",".","11.1","16.7","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","32","2.891","12.5","18.8","25.0","28.1","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.300","12.0","40.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","50","3.550","26.0","58.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","46","3.598","34.8","50.0","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","031
700","43","3.721","44.2","55.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","189","3.534","28.6","50.8","19.6","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","45","3.611","42.2","37.8","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
