"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"795","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795","002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Intro Quant Inquiry in Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"840","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"840","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"844
Chld&Adoles Psychpathl/Schl","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"880
Prevention Science","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Advanced Seminar in Human Dev","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"943
Internshp-School Psychology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"948
Seminar in School Psychology","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
Adv Smr-Educ Measuremnt&Stats","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","33","",".",".",".",".",".",".",".","81.8",".",".",".","15.2","3.0",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
