"EGR","","","","","","","","","","","","","","","","","","","","",""
"BIOMEDICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"B M E
207","Dept. Total","743","3.609","40.9","27.2","11.2","2.0","0.8","0.5","",".","7.8","",".","4.8","0.4","3.8","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","20","3.732","40.0","50.0","10.0",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","128","3.637","44.5","35.2","14.1","1.6","0.8","0.8","",".","0.8","",".","2.3",".",".",".",".",".","."
"Senior","","407","3.581","46.2","28.7","12.0","2.5","1.2","0.7","",".",".","",".","7.4","0.7",".","0.5",".",".","."
"Undergraduates","","555","3.595","45.6","31.0","12.4","2.2","1.1","0.7","",".","0.2","",".","5.9","0.5",".","0.4",".",".","."
"Special","","12","2.976",".","16.7","33.3","16.7",".",".","",".","8.3","",".","25.0",".",".",".",".",".","."
"Graduate","","211","3.718","24.2","13.3","4.7","0.5",".",".","",".","26.1","",".","16.1","1.9","12.8","0.5",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".","",".","100.0","",".",".",".",".",".",".",".","."
"Prof Yr 3","","3","",".",".",".",".",".",".","",".","33.3","",".",".",".","33.3","33.3",".",".","."
"Professionals","","4","",".",".",".",".",".",".","",".","50.0","",".",".",".","25.0","25.0",".",".","."
"","Dept. Total","782","3.609","38.9","25.8","10.6","1.9","0.8","0.5","",".","7.5","",".","9.0","0.9","3.6","0.5",".",".","."
