"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.559","52.9","35.3",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","101
003","17","3.294","29.4","23.5","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","19","3.579","47.4","31.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","19","3.263","42.1","15.8","21.1","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","007
101","24","3.271","29.2","29.2","25.0","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","101
008","21","3.238","38.1","14.3","28.6","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","101
011","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","013
101","17","3.559","52.9","17.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
014","16","3.313","43.8","18.8","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","164","3.399","42.7","23.2","19.5","7.9","3.7","2.4","0.6",".",".",".",".",".",".",".",".","."
"","102
002","14","3.321","21.4","42.9","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","003
102","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","15","2.929","20.0","13.3","26.7","26.7",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"","102
006","23","3.283","39.1","30.4","13.0",".","8.7","8.7",".",".",".",".",".",".",".",".",".","."
"","102
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","72","3.373","40.3","27.8","15.3","6.9","4.2","2.8","1.4","1.4",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
201","14","3.500","42.9","21.4","21.4",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","21","3.675","61.9","14.3","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","203
002","8","2.938","12.5","25.0","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"","003
203","15","2.700","13.3","26.7","20.0","20.0","6.7",".","13.3",".",".",".",".",".",".",".",".","."
"","203
005","10","2.900","10.0","40.0","10.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","203
006","20","3.125","20.0","30.0","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
008","8","3.000","25.0","37.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","61","2.943","16.4","31.1","18.0","19.7","6.6","3.3","4.9",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
003","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","16","3.700","56.3","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Directed Study","299
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","14","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rome:Changing Shape of City","350
001","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Il Duecento","671
001","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Il Seicento E L Arcadia","741
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Issues-Mthds Teachng Fr&Itl","821
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 237 of 403",""
