"","991
001","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","991
004","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","991
010","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"Linguistc&Germanic Philolgy","Course Total","7","",".",".",".",".",".",".",".",".",".",".",".","100.0","",".",".",".","."
"GERMAN
424","Dept. Total","862","3.609","58.7","18.1","13.3","3.5","2.2","0.8","0.6","1.2",".","0.3",".","1.2","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","176","3.609","56.8","19.9","18.8","1.7","1.7","0.6","0.6",".",".",".",".",".","",".",".",".","."
"Sophomore","","175","3.650","58.9","23.4","12.6","2.3","2.3","0.6",".",".",".",".",".",".","",".",".",".","."
"Junior","","183","3.538","54.1","23.0","13.1","5.5","2.2","1.1","1.1",".",".",".",".",".","",".",".",".","."
"Senior","","183","3.531","54.6","17.5","16.9","4.4","2.7","1.1","1.1","1.1",".",".",".","0.5","",".",".",".","."
"Undergraduates","","717","3.582","56.1","20.9","15.3","3.5","2.2","0.8","0.7","0.3",".",".",".","0.1","",".",".",".","."
"Special","","20","3.205","40.0","10.0","10.0","5.0","15.0","5.0",".","15.0",".",".",".",".","",".",".",".","."
"Graduate","","124","3.896","76.6","3.2","2.4","3.2",".",".",".","4.0",".","2.4",".","7.3","",".","0.8",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","862","3.609","58.7","18.1","13.3","3.5","2.2","0.8","0.6","1.2",".","0.3",".","1.2","",".","0.1",".","."
