"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"900","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","Course Total","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"991","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","14","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
