"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","3.880","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicm-Forestry&Wl Ecol Tchg","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","005","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"875","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","48","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","50","",".",".",".",".",".",".",".","26.0",".",".",".","74.0",".",".",".","."
