"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","121","3.636","55.4","26.4","9.9","6.6","1.7",".",".",".",".",".",".",".",".",".",".","."
"","301
002","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","171","3.728","65.5","21.6","7.0","4.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","146","3.615","50.0","30.1","11.0","4.1","2.7",".",".","0.7",".",".",".",".","1.4",".",".","."
"Human Develop-Adolescence","321
001","102","3.382","18.6","50.0","23.5","6.9",".","1.0",".",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","83","3.470","43.4","31.3","10.8","9.6","3.6",".","1.2",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","95","3.689","58.9","24.2","13.7","2.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","506
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","028
699","9","3.963","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
029","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","33","3.990","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","34","3.909","82.4","11.8","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","711
003","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
006","11","3.591","81.8","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","711
009","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","96","3.853","82.3","14.6","1.0",".",".",".","1.0",".",".",".",".",".","1.0",".",".","."
"Intro to Qualitative Research","719
001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Child Development","720
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","43","3.860","81.4","9.3","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
760","31","3.850","74.2","16.1","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","74","3.856","78.4","12.2","8.1",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","23","3.714","43.5","43.5","4.3",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Test Construction","771
001","22","3.895","68.2","18.2",".",".",".",".",".","9.1",".",".",".",".","4.5",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"MSPE Capstone","791
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tools for Thought","792
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 93 of 403"
