"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"Exploring Biology","100
001","191","3.319","33.5","9.4","50.3","1.0","5.8",".",".",".",".",".",".",".",".",".",".","."
"","101
001","198","2.589","16.2","6.1","29.3","8.1","27.3","9.1","3.5","0.5",".",".",".",".",".",".",".","."
"","002
101","145","2.538","19.3","6.9","22.8","5.5","30.3","9.7","5.5",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","343","2.567","17.5","6.4","26.5","7.0","28.6","9.3","4.4","0.3",".",".",".",".",".",".",".","."
"","102
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","15","3.367","40.0","13.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","003
102","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","17","3.118","17.6","41.2","23.5","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","007
102","12","3.292","8.3","58.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","14","3.036","21.4","14.3","35.7","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"","010
102","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
012","14","3.464","50.0","7.1","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
013","9","3.000","11.1","11.1","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","6","2.833","16.7","33.3","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","102
015","14","3.321","35.7","21.4","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","016
102","9","3.278","33.3",".","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","10","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
018","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","186","3.301","28.0","28.0","30.6","7.5","4.8",".","1.1",".",".",".",".",".",".",".",".","."
"General Botany","001
130","33","2.894","27.3",".","33.3","15.2","18.2","6.1",".",".",".",".",".",".",".",".",".","."
"","151
001","222","2.730","8.6","8.6","45.5","8.6","23.4","4.1","1.4",".",".",".",".",".",".",".",".","."
"","151
002","246","2.802","13.4","7.3","43.9","11.0","17.9","4.9","1.2",".",".",".",".",".",".",".",".","0.4"
"","151
003","164","2.880","19.5","5.5","38.4","11.0","21.3","3.7",".",".",".",".",".",".","0.6",".",".","."
"Introductory Biology","Course Total","632","2.797","13.3","7.3","43.0","10.1","20.7","4.3","0.9",".",".",".",".",".","0.2",".",".","0.2"
"Introductory Biology","152
001","361","3.087","22.7","12.2","43.8","6.9","12.5","1.7","0.3",".",".",".",".",".",".",".",".","."
"","260
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
005","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Entering Research Part 1","Course Total","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"","001
375","31","3.933","90.3","3.2",".","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"","375
002","20","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","54","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","17","3.412","58.8","23.5",".",".","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"","007
375","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","148","3.817","87.2","7.4","1.4","1.4","0.7","1.4",".",".",".",".",".",".","0.7",".",".","."
"","399
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 171 of 403",""
